customer_id,region_type,income_proxy_band,employment_type,age,first_time_borrower,credit_quality_indicator,acquisition_channel,cac
C000001,Semi-urban,Mid,Self-employed,33,0,A,Partner-embedded,492
C000002,Semi-urban,High,Informal,60,0,D,Digital ads,1019
C000003,Semi-urban,Low,Salaried,48,0,C,Organic,199
C000004,Urban,Low,Salaried,25,0,C,Digital ads,1603
C000005,Semi-urban,High,Salaried,41,1,C,Digital ads,1176
C000006,Urban,Low,Salaried,36,0,B,Digital ads,1105
C000007,Rural,High,Salaried,41,0,B,Partner-embedded,452
C000008,Urban,High,Self-employed,53,1,B,DSA,1058
C000009,Semi-urban,Low,Informal,25,0,D,Partner-embedded,551
C000010,Rural,Low,Self-employed,36,1,B,Digital ads,1366
C000011,Urban,Low,Informal,27,1,D,Digital ads,893
C000012,Urban,Low,Salaried,30,1,C,Digital ads,1104
C000013,Urban,High,Self-employed,43,0,B,Partner-embedded,562
C000014,Rural,Mid,Salaried,26,0,B,Partner-embedded,522
C000015,Semi-urban,Mid,Informal,38,1,D,Digital ads,1197
C000016,Urban,Mid,Self-employed,45,0,D,Digital ads,928
C000017,Semi-urban,Mid,Gig,42,0,C,Referral,307
C000018,Urban,Low,Salaried,36,0,B,Partner-embedded,500
C000019,Semi-urban,Mid,Salaried,28,1,B,Digital ads,1379
C000020,Rural,Mid,Self-employed,30,0,A,Partner-embedded,549
C000021,Semi-urban,Mid,Salaried,39,1,B,Partner-embedded,569
C000022,Semi-urban,Mid,Self-employed,27,1,C,Referral,353
C000023,Urban,High,Self-employed,52,0,C,Digital ads,1496
C000024,Semi-urban,Mid,Salaried,48,0,C,Digital ads,1553
C000025,Semi-urban,High,Self-employed,25,1,A,Organic,145
C000026,Urban,High,Salaried,41,0,B,Referral,265
C000027,Urban,Low,Salaried,28,0,B,Digital ads,1619
C000028,Semi-urban,Low,Salaried,50,0,B,Referral,251
C000029,Rural,High,Self-employed,35,0,C,Digital ads,998
C000030,Rural,High,Salaried,28,0,B,Partner-embedded,595
C000031,Semi-urban,Low,Gig,25,1,D,DSA,868
C000032,Semi-urban,Low,Salaried,22,0,B,Partner-embedded,700
C000033,Semi-urban,Mid,Self-employed,31,1,A,Partner-embedded,608
C000034,Urban,Low,Salaried,26,0,B,Referral,252
C000035,Rural,Low,Self-employed,35,1,D,Partner-embedded,710
C000036,Urban,Low,Salaried,30,1,B,DSA,818
C000037,Semi-urban,High,Informal,22,1,A,Digital ads,748
C000038,Semi-urban,High,Self-employed,29,0,C,Digital ads,1122
C000039,Semi-urban,High,Salaried,60,1,D,DSA,1196
C000040,Urban,High,Salaried,28,0,B,Digital ads,1051
C000041,Semi-urban,High,Salaried,27,0,A,Digital ads,1156
C000042,Urban,Mid,Salaried,33,0,A,Referral,309
C000043,Rural,Mid,Salaried,27,0,A,Referral,264
C000044,Urban,Mid,Self-employed,34,0,B,Partner-embedded,772
C000045,Urban,Low,Salaried,26,1,D,Partner-embedded,842
C000046,Semi-urban,High,Salaried,25,0,A,Digital ads,1461
C000047,Urban,Low,Informal,28,0,D,Digital ads,1002
C000048,Urban,Mid,Salaried,21,0,D,Partner-embedded,361
C000049,Semi-urban,Low,Gig,34,0,D,Digital ads,1560
C000050,Urban,Mid,Salaried,29,0,B,Digital ads,1280
C000051,Urban,Mid,Self-employed,20,0,C,DSA,1053
C000052,Semi-urban,Low,Salaried,35,0,B,DSA,1218
C000053,Urban,Low,Self-employed,21,0,C,Partner-embedded,456
C000054,Urban,Low,Salaried,40,0,A,DSA,1111
C000055,Urban,Mid,Salaried,50,0,C,Digital ads,764
C000056,Semi-urban,Low,Gig,20,1,A,Digital ads,1243
C000057,Rural,Mid,Salaried,23,1,B,Organic,91
C000058,Rural,Low,Self-employed,22,0,E,DSA,1040
C000059,Semi-urban,Low,Self-employed,40,1,B,DSA,1204
C000060,Urban,Mid,Gig,20,1,E,Partner-embedded,554
C000061,Urban,Mid,Informal,20,0,B,Organic,158
C000062,Semi-urban,Low,Self-employed,50,1,B,Referral,360
C000063,Semi-urban,Low,Salaried,31,1,A,Digital ads,1178
C000064,Semi-urban,Low,Informal,23,0,D,DSA,818
C000065,Semi-urban,Mid,Salaried,23,0,D,Partner-embedded,501
C000066,Urban,Mid,Self-employed,38,1,B,Digital ads,1847
C000067,Semi-urban,Mid,Salaried,38,1,C,Digital ads,1304
C000068,Rural,High,Salaried,25,0,B,Digital ads,1024
C000069,Urban,High,Gig,23,1,A,Referral,278
C000070,Rural,Mid,Salaried,29,1,E,Digital ads,1482
C000071,Urban,Mid,Salaried,28,0,B,Digital ads,1051
C000072,Semi-urban,Low,Self-employed,22,0,B,Digital ads,1251
C000073,Rural,Mid,Salaried,31,0,A,Partner-embedded,758
