loan_id,customer_id,loan_sequence,product_type,ticket_size,tenure_mo,interest_rate_apr,origination_risk_grade,origination_date,origination_cohort,approval_tat_hrs,months_on_book,loan_status,default_flag,value_proxy
L0000001,C000001,1,Personal,50198,19,16.51,A,2025-10-30,2025-10,1.92,9,Active,0,1116
L0000002,C000002,1,Personal,126092,12,27.35,D,2025-07-22,2025-07,3.23,12,Active,0,11464
L0000003,C000003,1,SME,1589283,39,20.06,C,2024-07-19,2024-07,6.53,24,Active,0,237095
L0000004,C000003,2,Personal,335477,14,20.19,B,2024-08-26,2024-08,15.53,14,Closed,0,21308
L0000005,C000004,1,BNPL,7421,3,25.98,B,2024-10-04,2024-10,2.68,3,Closed,0,-1712
L0000006,C000005,1,Personal,55149,16,27.67,D,2025-10-28,2025-10,2.65,7,Closed,0,3277
L0000007,C000006,1,Personal,267017,21,20.8,B,2025-11-16,2025-11,2.84,8,Active,0,16598
L0000008,C000007,1,SME,445781,19,18.07,B,2025-03-09,2025-03,2.31,16,Active,0,29832
L0000009,C000008,1,Personal,126017,30,19.87,B,2024-10-17,2024-10,28.84,21,Active,0,13952
L0000010,C000008,2,Personal,186237,16,19.74,B,2025-06-08,2025-06,101.15,7,Closed,0,10200
L0000011,C000009,1,SME,200000,14,19.63,C,2025-08-13,2025-08,1.03,11,Active,0,13092
L0000012,C000009,2,Personal,114218,20,28.32,D,2026-03-30,2026-03,1.11,4,Active,0,7374
L0000013,C000010,1,BNPL,5348,2,23.44,A,2026-04-23,2026-04,2.35,2,Closed,0,-1471
L0000014,C000011,1,BNPL,25712,3,32.93,D,2026-02-07,2026-02,3.72,3,Closed,0,-39
L0000015,C000012,1,Personal,125910,17,24.08,C,2025-06-12,2025-06,2.96,13,Active,0,11277
L0000016,C000012,2,Personal,219641,20,23.45,C,2025-08-15,2025-08,3.98,11,Active,0,21319
L0000017,C000013,1,BNPL,6489,3,26.42,B,2025-08-18,2025-08,1.6,3,Closed,0,-656
L0000018,C000014,1,BNPL,5633,4,27.35,B,2025-04-13,2025-04,3.67,4,Closed,1,-2856
L0000019,C000014,2,Personal,93594,10,20.3,B,2026-02-24,2026-02,1.65,5,Active,0,3751
L0000020,C000015,1,Personal,62543,15,28.04,D,2024-11-17,2024-11,1.75,15,Closed,0,5709
L0000021,C000016,1,Personal,136626,21,27.06,D,2026-02-15,2026-02,5.05,5,Active,1,-83750
L0000022,C000017,1,Personal,310403,23,23.7,C,2025-06-08,2025-06,5.72,13,Active,0,36400
L0000023,C000018,1,BNPL,3433,4,28.06,B,2025-10-05,2025-10,0.94,4,Closed,0,-728
L0000024,C000019,1,Personal,78904,12,20.44,B,2024-07-21,2024-07,1.75,12,Closed,0,2383
L0000025,C000020,1,Personal,132974,22,15.93,A,2026-04-19,2026-04,0.71,3,Active,0,2714
L0000026,C000021,1,SME,1162287,21,17.68,B,2025-11-12,2025-11,1.14,8,Active,0,58105
L0000027,C000022,1,Personal,420866,21,23.28,C,2024-12-24,2024-12,9.35,19,Active,0,59903
L0000028,C000023,1,Personal,58179,18,24.27,C,2025-11-08,2025-11,3.42,8,Active,0,2838
