loan_id,nii,fee,loss,servicing,cac_charged
L0000001,1574.9566660724581,752.97,0.0,720.0,492.0
L0000002,11551.908284554258,1891.3799999999999,0.0,960.0,1019.0
L0000003,215375.0807809279,23839.245,0.0,1920.0,199.0
L0000004,17395.721306904084,5032.155,0.0,1120.0,0.0
L0000005,93.96154293507337,37.105000000000004,0.0,240.0,1603.0
L0000006,4185.652793688001,827.235,0.0,560.0,1176.0
L0000007,14338.210601637764,4005.2549999999997,0.0,640.0,1105.0
L0000008,24877.2031775874,6686.715,0.0,1280.0,452.0
L0000009,14799.275788362604,1890.2549999999999,0.0,1680.0,1058.0
L0000010,7966.061152978242,2793.555,0.0,560.0,0.0
L0000011,11522.734169870988,3000.0,0.0,880.0,551.0
L0000012,5980.605704406621,1713.27,0.0,320.0,0.0
L0000013,27.988549734130505,26.740000000000002,0.0,160.0,1366.0
L0000014,965.5633866012096,128.56,0.0,240.0,893.0
L0000015,11532.543680298933,1888.6499999999999,0.0,1040.0,1104.0
L0000016,18904.391916205957,3294.615,0.0,880.0,0.0
L0000017,113.30873461198061,32.445,0.0,240.0,562.0
L0000018,315.8449324005842,28.165,2357.676,320.0,522.0
L0000019,2747.370915022446,1403.9099999999999,0.0,400.0,0.0
L0000020,7167.826248744595,938.145,0.0,1200.0,1197.0
L0000021,9456.491536718608,2049.39,93927.5675,400.0,928.0
L0000022,33090.61115106359,4656.045,0.0,1040.0,307.0
L0000023,74.61858402263373,17.165,0.0,320.0,500.0
L0000024,3538.7583975202683,1183.56,0.0,960.0,1379.0
L0000025,1508.4845815152116,1994.61,0.0,240.0,549.0
L0000026,41880.13640265679,17434.305,0.0,640.0,569.0
L0000027,55462.692797639014,6312.99,0.0,1520.0,353.0
L0000028,4101.624975895397,872.685,0.0,640.0,1496.0
L0000029,2902.1336066126078,971.925,0.0,400.0,1553.0
L0000030,2360.256838289788,1280.865,0.0,1120.0,145.0
L0000031,55.35088659203612,23.38,0.0,160.0,265.0
L0000032,174.84540007771926,78.605,0.0,80.0,0.0
L0000033,6405.374372671582,1268.7,0.0,960.0,1619.0
L0000034,81.14852072559297,74.75,0.0,160.0,251.0
L0000035,132625.97194274975,18964.32,0.0,1600.0,998.0
L0000036,4840.903122574319,1312.8899999999999,0.0,1200.0,595.0
L0000037,19267.41748812709,2317.44,0.0,1280.0,868.0
L0000038,123.11232635872439,10.91,909.256,240.0,0.0
L0000039,16954.496226196698,3178.9049999999997,0.0,880.0,700.0
L0000040,6303.347307392918,1165.305,46891.084500000004,640.0,608.0
L0000041,6911.069489144422,792.63,0.0,1280.0,252.0
L0000042,200.07212323486806,27.015,0.0,160.0,710.0
L0000043,1791.090767786214,867.3449999999999,0.0,480.0,818.0
L0000044,145.2634106053412,41.43,0.0,320.0,748.0
L0000045,4765.283094580742,2350.5899999999997,0.0,320.0,1122.0
L0000046,382.7072748991102,65.88,0.0,240.0,1196.0
L0000047,175.64065587571824,21.54,0.0,320.0,1051.0
L0000048,1351.6922709551454,1681.1699999999998,0.0,240.0,1156.0
L0000049,7834.879017889076,1932.945,0.0,1120.0,309.0
L0000050,184.39833738237618,80.805,0.0,240.0,264.0
L0000051,132.85721132436768,101.155,0.0,160.0,772.0
L0000052,3292.9738088876475,6919.634999999999,0.0,80.0,842.0
L0000053,22178.001362528266,15781.724999999999,0.0,800.0,1461.0
L0000054,2519.3340701697393,2892.5099999999998,0.0,80.0,1002.0
L0000055,30142.745355621028,4174.995,0.0,1520.0,361.0
L0000056,561.1872199562006,54.805,4556.276000000001,240.0,1560.0
L0000057,6820.8853672322075,12179.34,0.0,80.0,1280.0
L0000058,16815.483838140965,2268.705,0.0,880.0,1053.0
L0000059,34990.39312754021,40493.115,0.0,240.0,1218.0
L0000060,228.38103699721393,69.905,0.0,160.0,456.0
L0000061,8617.976950565488,9407.595,0.0,160.0,0.0
L0000062,78593.89520719806,28810.184999999998,0.0,1840.0,1111.0
L0000063,123.78085100952536,17.0,0.0,320.0,764.0
L0000064,0.0,71.97,0.0,80.0,1243.0
L0000065,58384.41874028895,26820.42,0.0,1280.0,91.0
L0000066,19029.987079009916,2762.955,0.0,560.0,1040.0
L0000067,15841.92631104826,4488.15,0.0,640.0,1204.0
L0000068,280.9744791250676,21.295,1782.736,240.0,554.0
L0000069,8651.99261100498,4092.1949999999997,0.0,1360.0,158.0
L0000070,202.898580184076,73.72,0.0,240.0,0.0
L0000071,6822.907257587789,2663.31,0.0,560.0,360.0
L0000072,33364.385901890884,15826.215,0.0,1360.0,1178.0
L0000073,3593.216740757246,2034.87,0.0,160.0,818.0
L0000074,682.8068205475248,49.11,0.0,320.0,501.0
L0000075,3725.7180841932727,1309.0349999999999,0.0,1040.0,1847.0
L0000076,872.6582518033497,68.37,4275.476000000001,400.0,1304.0
L0000077,308.7344554773811,72.26,0.0,240.0,1024.0
L0000078,30605.62399699362,34074.255,0.0,240.0,278.0
L0000079,42.042048533502964,17.71,0.0,240.0,0.0
L0000080,15331.64103800047,3418.7549999999997,0.0,480.0,1482.0
L0000081,7753.25685152825,700.185,0.0,1120.0,0.0
L0000082,781.2096257157065,59.255,4960.476000000001,240.0,0.0
L0000083,1729.6815483948121,777.4649999999999,0.0,400.0,1051.0
L0000084,7160.454235640913,1879.47,0.0,1280.0,1251.0
L0000085,264.51232457953506,83.785,0.0,160.0,758.0
L0000086,130.62281769566238,40.6,0.0,160.0,1137.0
L0000087,1407.7432664700482,1945.3049999999998,0.0,240.0,0.0
L0000088,5148.006935940832,4894.125,0.0,320.0,155.0
L0000089,2259.6909698248282,4915.139999999999,0.0,80.0,1223.0
L0000090,66.01503170778975,23.605,0.0,240.0,136.0
L0000091,127.55977179296315,28.38,0.0,400.0,1387.0
L0000092,2182.389502705457,10617.225,0.0,80.0,0.0
L0000093,269.48748563908975,83.615,0.0,240.0,1121.0
L0000094,2876.9885230779646,1372.26,0.0,880.0,0.0
L0000095,787.8194268393516,609.6,0.0,480.0,0.0
L0000096,7386.644106922671,1766.73,0.0,1280.0,1335.0
L0000097,2065.4837960591212,739.35,0.0,640.0,1207.0
L0000098,672.3565567802266,79.735,0.0,400.0,834.0
