customer_id,cluster
C000001,C2
C000002,C1
C000003,C3
C000004,C2
C000005,C1
C000006,C1
C000007,C1
C000008,C1
C000009,C3
C000010,C1
C000011,C2
C000012,C2
C000013,C1
C000014,C4
C000015,C1
C000016,C4
C000017,C1
C000018,C1
C000019,C2
C000020,C2
C000021,C1
C000022,C2
C000023,C1
C000024,C1
C000025,C2
C000026,C1
C000027,C2
C000028,C1
C000029,C2
C000030,C2
C000031,C3
C000032,C2
C000033,C4
C000034,C2
C000035,C2
C000036,C2
C000037,C2
C000038,C2
C000039,C1
C000040,C2
C000041,C2
C000042,C2
C000043,C2
C000044,C1
C000045,C2
C000046,C2
C000047,C2
C000048,C2
C000049,C2
C000050,C2
C000051,C4
C000052,C1
C000053,C3
C000054,C1
C000055,C1
C000056,C2
C000057,C2
C000058,C2
C000059,C1
C000060,C2
C000061,C3
C000062,C1
C000063,C2
C000064,C2
C000065,C2
C000066,C1
C000067,C1
C000068,C2
C000069,C3
C000070,C3
C000071,C2
C000072,C2
C000073,C2
C000074,C3
C000075,C1
C000076,C2
C000077,C2
C000078,C3
C000079,C3
C000080,C2
C000081,C1
C000082,C2
C000083,C2
C000084,C2
C000085,C2
C000086,C2
C000087,C2
C000088,C1
C000089,C1
C000090,C2
C000091,C2
C000092,C2
C000093,C1
C000094,C4
C000095,C3
C000096,C3
C000097,C2
C000098,C1
C000099,C2
C000100,C2
C000101,C3
C000102,C2
C000103,C2
C000104,C2
C000105,C2
C000106,C2
C000107,C1
C000108,C2
C000109,C2
C000110,C2
C000111,C2
C000112,C2
C000113,C2
C000114,C2
C000115,C4
C000116,C1
C000117,C2
C000118,C1
C000119,C1
C000120,C1
C000121,C2
C000122,C3
C000123,C2
C000124,C2
C000125,C2
C000126,C2
C000127,C2
C000128,C3
C000129,C2
C000130,C2
C000131,C2
C000132,C2
C000133,C1
C000134,C1
C000135,C2
C000136,C3
C000137,C1
C000138,C2
C000139,C1
C000140,C2
C000141,C2
C000142,C2
C000143,C2
C000144,C1
C000145,C1
C000146,C1
C000147,C2
C000148,C2
C000149,C1
C000150,C2
C000151,C3
C000152,C2
C000153,C2
C000154,C3
C000155,C3
C000156,C2
C000157,C3
C000158,C2
C000159,C1
C000160,C4
C000161,C2
C000162,C2
C000163,C2
C000164,C1
C000165,C2
C000166,C1
C000167,C3
C000168,C3
C000169,C3
C000170,C2
C000171,C1
C000172,C2
C000173,C1
C000174,C3
C000175,C3
C000176,C2
C000177,C3
C000178,C1
C000179,C3
C000180,C2
C000181,C4
C000182,C2
C000183,C4
C000184,C2
C000185,C3
C000186,C2
C000187,C2
C000188,C3
C000189,C2
C000190,C2
C000191,C2
C000192,C4
C000193,C3
C000194,C1
C000195,C4
C000196,C3
C000197,C1
C000198,C2
C000199,C2
C000200,C2
C000201,C3
C000202,C1
C000203,C2
C000204,C2
C000205,C3
C000206,C2
C000207,C2
C000208,C1
C000209,C2
C000210,C1
C000211,C1
C000212,C2
C000213,C3
C000214,C1
C000215,C1
C000216,C4
C000217,C2
C000218,C1
C000219,C3
C000220,C2
C000221,C2
C000222,C2
C000223,C2
C000224,C1
C000225,C2
C000226,C3
C000227,C2
C000228,C2
C000229,C1
C000230,C2
C000231,C1
C000232,C2
C000233,C2
C000234,C2
C000235,C2
C000236,C1
C000237,C2
C000238,C3
C000239,C2
C000240,C2
C000241,C2
C000242,C1
C000243,C3
C000244,C3
C000245,C2
C000246,C1
C000247,C2
C000248,C4
C000249,C2
C000250,C3
C000251,C2
C000252,C3
C000253,C3
C000254,C2
C000255,C2
C000256,C2
C000257,C1
C000258,C2
C000259,C2
C000260,C1
C000261,C1
C000262,C2
C000263,C2
C000264,C4
C000265,C4
C000266,C2
C000267,C2
C000268,C3
C000269,C2
C000270,C3
C000271,C1
C000272,C2
C000273,C2
C000274,C2
C000275,C2
C000276,C3
C000277,C2
C000278,C2
C000279,C2
C000280,C2
C000281,C1
C000282,C2
C000283,C2
C000284,C2
C000285,C3
C000286,C2
C000287,C2
C000288,C2
C000289,C2
C000290,C2
C000291,C4
C000292,C2
C000293,C1
C000294,C3
C000295,C2
C000296,C3
C000297,C1
C000298,C2
C000299,C3
C000300,C2
C000301,C2
C000302,C2
C000303,C2
C000304,C2
C000305,C1
C000306,C1
C000307,C2
C000308,C1
C000309,C2
C000310,C4
C000311,C2
C000312,C2
C000313,C2
C000314,C1
C000315,C3
C000316,C2
C000317,C1
C000318,C2
C000319,C2
C000320,C2
C000321,C4
C000322,C1
C000323,C4
C000324,C2
C000325,C2
C000326,C1
C000327,C2
C000328,C1
C000329,C2
C000330,C3
C000331,C1
C000332,C1
C000333,C2
C000334,C2
C000335,C2
C000336,C3
C000337,C2
C000338,C2
C000339,C1
C000340,C3
C000341,C2
C000342,C1
C000343,C1
C000344,C3
C000345,C1
C000346,C3
C000347,C2
C000348,C2
C000349,C2
C000350,C1
C000351,C3
C000352,C3
C000353,C4
C000354,C1
C000355,C2
C000356,C2
C000357,C2
C000358,C2
C000359,C2
C000360,C1
C000361,C2
C000362,C2
C000363,C2
C000364,C4
C000365,C3
C000366,C2
C000367,C2
C000368,C3
C000369,C2
C000370,C3
C000371,C2
C000372,C2
C000373,C2
C000374,C3
C000375,C1
C000376,C2
C000377,C2
C000378,C1
C000379,C1
C000380,C2
C000381,C2
C000382,C2
C000383,C2
C000384,C1
C000385,C3
C000386,C3
C000387,C4
C000388,C2
C000389,C1
C000390,C1
C000391,C1
C000392,C1
C000393,C2
C000394,C2
C000395,C1
C000396,C1
C000397,C1
C000398,C2
C000399,C1
C000400,C3
C000401,C3
C000402,C1
C000403,C1
C000404,C2
C000405,C2
C000406,C1
C000407,C2
C000408,C2
C000409,C1
C000410,C2
C000411,C1
C000412,C2
C000413,C3
C000414,C3
C000415,C1
C000416,C2
C000417,C2
C000418,C3
C000419,C2
C000420,C4
C000421,C1
C000422,C2
C000423,C1
C000424,C2
C000425,C3
C000426,C2
C000427,C2
C000428,C1
C000429,C4
C000430,C2
C000431,C1
C000432,C2
C000433,C2
C000434,C2
C000435,C1
C000436,C2
C000437,C2
C000438,C2
C000439,C2
C000440,C2
C000441,C2
C000442,C2
C000443,C1
C000444,C2
C000445,C1
C000446,C1
C000447,C2
C000448,C2
C000449,C2
C000450,C4
C000451,C2
C000452,C2
C000453,C1
C000454,C2
C000455,C2
C000456,C2
C000457,C2
C000458,C2
C000459,C2
C000460,C1
C000461,C3
C000462,C3
C000463,C2
C000464,C2
C000465,C1
C000466,C2
C000467,C1
C000468,C2
C000469,C3
C000470,C2
C000471,C2
C000472,C2
C000473,C1
C000474,C2
C000475,C2
C000476,C1
C000477,C3
C000478,C1
C000479,C3
C000480,C3
C000481,C1
C000482,C3
C000483,C1
C000484,C3
C000485,C1
C000486,C1
C000487,C1
C000488,C2
C000489,C2
C000490,C4
C000491,C3
C000492,C1
C000493,C2
C000494,C2
C000495,C1
C000496,C1
C000497,C1
C000498,C2
C000499,C1
C000500,C2
C000501,C1
C000502,C2
C000503,C2
C000504,C3
C000505,C2
C000506,C3
C000507,C4
C000508,C2
C000509,C1
C000510,C2
C000511,C2
C000512,C2
C000513,C4
C000514,C2
C000515,C2
C000516,C1
C000517,C2
C000518,C3
C000519,C2
C000520,C1
C000521,C2
C000522,C2
