loan_id,customer_id,cluster
L0000001,C000001,C2
L0000002,C000002,C1
L0000003,C000003,C3
L0000004,C000003,C3
L0000005,C000004,C2
L0000006,C000005,C1
L0000007,C000006,C1
L0000008,C000007,C1
L0000009,C000008,C1
L0000010,C000008,C1
L0000011,C000009,C3
L0000012,C000009,C3
L0000013,C000010,C1
L0000014,C000011,C2
L0000015,C000012,C2
L0000016,C000012,C2
L0000017,C000013,C1
L0000018,C000014,C4
L0000019,C000014,C4
L0000020,C000015,C1
L0000021,C000016,C4
L0000022,C000017,C1
L0000023,C000018,C1
L0000024,C000019,C2
L0000025,C000020,C2
L0000026,C000021,C1
L0000027,C000022,C2
L0000028,C000023,C1
L0000029,C000024,C1
L0000030,C000025,C2
L0000031,C000026,C1
L0000032,C000026,C1
L0000033,C000027,C2
L0000034,C000028,C1
L0000035,C000029,C2
L0000036,C000030,C2
L0000037,C000031,C3
L0000038,C000031,C3
L0000039,C000032,C2
L0000040,C000033,C4
L0000041,C000034,C2
L0000042,C000035,C2
L0000043,C000036,C2
L0000044,C000037,C2
L0000045,C000038,C2
L0000046,C000039,C1
L0000047,C000040,C2
L0000048,C000041,C2
L0000049,C000042,C2
L0000050,C000043,C2
L0000051,C000044,C1
L0000052,C000045,C2
L0000053,C000046,C2
L0000054,C000047,C2
L0000055,C000048,C2
L0000056,C000049,C2
L0000057,C000050,C2
L0000058,C000051,C4
L0000059,C000052,C1
L0000060,C000053,C3
L0000061,C000053,C3
L0000062,C000054,C1
L0000063,C000055,C1
L0000064,C000056,C2
L0000065,C000057,C2
L0000066,C000058,C2
L0000067,C000059,C1
L0000068,C000060,C2
L0000069,C000061,C3
L0000070,C000061,C3
L0000071,C000062,C1
L0000072,C000063,C2
L0000073,C000064,C2
L0000074,C000065,C2
L0000075,C000066,C1
L0000076,C000067,C1
L0000077,C000068,C2
L0000078,C000069,C3
L0000079,C000069,C3
L0000080,C000070,C3
L0000081,C000070,C3
L0000082,C000070,C3
L0000083,C000071,C2
L0000084,C000072,C2
L0000085,C000073,C2
L0000086,C000074,C3
L0000087,C000074,C3
L0000088,C000075,C1
L0000089,C000076,C2
L0000090,C000077,C2
L0000091,C000078,C3
L0000092,C000078,C3
L0000093,C000079,C3
L0000094,C000079,C3
L0000095,C000079,C3
L0000096,C000080,C2
L0000097,C000081,C1
L0000098,C000082,C2
L0000099,C000083,C2
L0000100,C000084,C2
L0000101,C000085,C2
L0000102,C000086,C2
L0000103,C000087,C2
L0000104,C000088,C1
L0000105,C000089,C1
L0000106,C000090,C2
L0000107,C000091,C2
L0000108,C000092,C2
