loan_id,customer_id,segment
L0000001,C000001,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000002,C000002,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000003,C000003,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000004,C000003,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000005,C000004,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000006,C000005,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000007,C000006,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000008,C000007,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000009,C000008,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000010,C000008,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000011,C000009,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000012,C000009,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000013,C000010,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000014,C000011,T6: interest_rate_apr > 32.4%
L0000015,C000012,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000016,C000012,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000017,C000013,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000018,C000014,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000019,C000014,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000020,C000015,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000021,C000016,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000022,C000017,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000023,C000018,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000024,C000019,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000025,C000020,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000026,C000021,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000027,C000022,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000028,C000023,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000029,C000024,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000030,C000025,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000031,C000026,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000032,C000026,T5: interest_rate_apr 30.6%-32.4%
L0000033,C000027,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000034,C000028,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000035,C000029,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000036,C000030,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000037,C000031,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000038,C000031,T6: interest_rate_apr > 32.4%
L0000039,C000032,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000040,C000033,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000041,C000034,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000042,C000035,T6: interest_rate_apr > 32.4%
L0000043,C000036,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000044,C000037,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000045,C000038,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000046,C000039,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000047,C000040,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000048,C000041,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000049,C000042,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000050,C000043,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000051,C000044,T2: origination_risk_grade B; interest_rate_apr ≤ 30.6%
L0000052,C000045,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000053,C000046,T1: origination_risk_grade A; interest_rate_apr ≤ 30.6%
L0000054,C000047,T4: origination_risk_grade C-E; interest_rate_apr 25.0%-30.6%
L0000055,C000048,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
L0000056,C000049,T5: interest_rate_apr 30.6%-32.4%
L0000057,C000050,T3: origination_risk_grade C-E; interest_rate_apr ≤ 25.0%
