loan_id,customer_id,segment
L0000001,C000001,2. Personal Prime (A-B)
L0000002,C000002,4. Personal Subprime (D-E)
L0000003,C000003,6. SME Non-prime (C-D-E)
L0000004,C000003,2. Personal Prime (A-B)
L0000005,C000004,1. BNPL (all grades)
L0000006,C000005,4. Personal Subprime (D-E)
L0000007,C000006,2. Personal Prime (A-B)
L0000008,C000007,5. SME Prime (A-B)
L0000009,C000008,2. Personal Prime (A-B)
L0000010,C000008,2. Personal Prime (A-B)
L0000011,C000009,6. SME Non-prime (C-D-E)
L0000012,C000009,4. Personal Subprime (D-E)
L0000013,C000010,1. BNPL (all grades)
L0000014,C000011,1. BNPL (all grades)
L0000015,C000012,3. Personal Mid (C)
L0000016,C000012,3. Personal Mid (C)
L0000017,C000013,1. BNPL (all grades)
L0000018,C000014,1. BNPL (all grades)
L0000019,C000014,2. Personal Prime (A-B)
L0000020,C000015,4. Personal Subprime (D-E)
L0000021,C000016,4. Personal Subprime (D-E)
L0000022,C000017,3. Personal Mid (C)
L0000023,C000018,1. BNPL (all grades)
L0000024,C000019,2. Personal Prime (A-B)
L0000025,C000020,2. Personal Prime (A-B)
L0000026,C000021,5. SME Prime (A-B)
L0000027,C000022,3. Personal Mid (C)
L0000028,C000023,3. Personal Mid (C)
L0000029,C000024,3. Personal Mid (C)
L0000030,C000025,2. Personal Prime (A-B)
L0000031,C000026,1. BNPL (all grades)
L0000032,C000026,1. BNPL (all grades)
L0000033,C000027,2. Personal Prime (A-B)
L0000034,C000028,1. BNPL (all grades)
L0000035,C000029,6. SME Non-prime (C-D-E)
L0000036,C000030,2. Personal Prime (A-B)
L0000037,C000031,4. Personal Subprime (D-E)
L0000038,C000031,1. BNPL (all grades)
L0000039,C000032,3. Personal Mid (C)
L0000040,C000033,3. Personal Mid (C)
L0000041,C000034,3. Personal Mid (C)
L0000042,C000035,1. BNPL (all grades)
L0000043,C000036,2. Personal Prime (A-B)
L0000044,C000037,1. BNPL (all grades)
L0000045,C000038,3. Personal Mid (C)
L0000046,C000039,1. BNPL (all grades)
L0000047,C000040,1. BNPL (all grades)
L0000048,C000041,2. Personal Prime (A-B)
L0000049,C000042,2. Personal Prime (A-B)
L0000050,C000043,1. BNPL (all grades)
L0000051,C000044,1. BNPL (all grades)
L0000052,C000045,6. SME Non-prime (C-D-E)
L0000053,C000046,5. SME Prime (A-B)
L0000054,C000047,4. Personal Subprime (D-E)
L0000055,C000048,6. SME Non-prime (C-D-E)
L0000056,C000049,1. BNPL (all grades)
L0000057,C000050,6. SME Non-prime (C-D-E)
L0000058,C000051,4. Personal Subprime (D-E)
L0000059,C000052,5. SME Prime (A-B)
L0000060,C000053,1. BNPL (all grades)
L0000061,C000053,6. SME Non-prime (C-D-E)
L0000062,C000054,5. SME Prime (A-B)
L0000063,C000055,1. BNPL (all grades)
L0000064,C000056,1. BNPL (all grades)
L0000065,C000057,5. SME Prime (A-B)
L0000066,C000058,4. Personal Subprime (D-E)
L0000067,C000059,2. Personal Prime (A-B)
L0000068,C000060,1. BNPL (all grades)
L0000069,C000061,2. Personal Prime (A-B)
L0000070,C000061,1. BNPL (all grades)
L0000071,C000062,2. Personal Prime (A-B)
L0000072,C000063,5. SME Prime (A-B)
L0000073,C000064,4. Personal Subprime (D-E)
L0000074,C000065,1. BNPL (all grades)
L0000075,C000066,2. Personal Prime (A-B)
L0000076,C000067,1. BNPL (all grades)
L0000077,C000068,1. BNPL (all grades)
L0000078,C000069,5. SME Prime (A-B)
L0000079,C000069,1. BNPL (all grades)
L0000080,C000070,4. Personal Subprime (D-E)
L0000081,C000070,4. Personal Subprime (D-E)
L0000082,C000070,1. BNPL (all grades)
L0000083,C000071,2. Personal Prime (A-B)
L0000084,C000072,2. Personal Prime (A-B)
L0000085,C000073,1. BNPL (all grades)
L0000086,C000074,1. BNPL (all grades)
L0000087,C000074,2. Personal Prime (A-B)
L0000088,C000075,5. SME Prime (A-B)
L0000089,C000076,2. Personal Prime (A-B)
L0000090,C000077,1. BNPL (all grades)
L0000091,C000078,1. BNPL (all grades)
L0000092,C000078,5. SME Prime (A-B)
L0000093,C000079,1. BNPL (all grades)
L0000094,C000079,2. Personal Prime (A-B)
L0000095,C000079,2. Personal Prime (A-B)
L0000096,C000080,2. Personal Prime (A-B)
L0000097,C000081,2. Personal Prime (A-B)
L0000098,C000082,1. BNPL (all grades)
L0000099,C000083,3. Personal Mid (C)
L0000100,C000084,1. BNPL (all grades)
L0000101,C000085,1. BNPL (all grades)
L0000102,C000086,3. Personal Mid (C)
L0000103,C000087,2. Personal Prime (A-B)
L0000104,C000088,3. Personal Mid (C)
L0000105,C000089,6. SME Non-prime (C-D-E)
L0000106,C000090,2. Personal Prime (A-B)
L0000107,C000091,1. BNPL (all grades)
L0000108,C000092,3. Personal Mid (C)
L0000109,C000092,2. Personal Prime (A-B)
L0000110,C000093,2. Personal Prime (A-B)
L0000111,C000094,1. BNPL (all grades)
L0000112,C000094,3. Personal Mid (C)
L0000113,C000095,5. SME Prime (A-B)
L0000114,C000095,2. Personal Prime (A-B)
L0000115,C000096,1. BNPL (all grades)
L0000116,C000096,6. SME Non-prime (C-D-E)
L0000117,C000097,5. SME Prime (A-B)
L0000118,C000098,2. Personal Prime (A-B)
L0000119,C000099,1. BNPL (all grades)
L0000120,C000100,6. SME Non-prime (C-D-E)
L0000121,C000101,1. BNPL (all grades)
L0000122,C000101,4. Personal Subprime (D-E)
L0000123,C000101,1. BNPL (all grades)
L0000124,C000102,4. Personal Subprime (D-E)
L0000125,C000103,3. Personal Mid (C)
L0000126,C000104,2. Personal Prime (A-B)
L0000127,C000104,2. Personal Prime (A-B)
L0000128,C000105,5. SME Prime (A-B)
L0000129,C000106,1. BNPL (all grades)
L0000130,C000107,2. Personal Prime (A-B)
L0000131,C000108,1. BNPL (all grades)
L0000132,C000109,6. SME Non-prime (C-D-E)
L0000133,C000110,6. SME Non-prime (C-D-E)
L0000134,C000111,2. Personal Prime (A-B)
L0000135,C000112,3. Personal Mid (C)
L0000136,C000113,1. BNPL (all grades)
L0000137,C000114,3. Personal Mid (C)
L0000138,C000115,1. BNPL (all grades)
L0000139,C000116,3. Personal Mid (C)
L0000140,C000117,4. Personal Subprime (D-E)
L0000141,C000118,2. Personal Prime (A-B)
L0000142,C000119,4. Personal Subprime (D-E)
L0000143,C000120,1. BNPL (all grades)
L0000144,C000121,1. BNPL (all grades)
L0000145,C000122,3. Personal Mid (C)
L0000146,C000122,1. BNPL (all grades)
