loan_id,customer_id,segment,product_type,obs_month,dpd_current,ews_score,band,is_behavioural_distress,recommended_action
L0004208,C003375,3. Personal Non-prime (C-E),Personal,2026-03,30,0.6129,ESCALATION,1,immediate collections
L0025033,C020144,4. SME Prime (A-B),SME,2026-03,30,0.6129,ESCALATION,1,immediate collections
L0030229,C024312,5. SME Non-prime (C-E),SME,2026-03,60,0.6129,ESCALATION,1,immediate collections
L0046643,C037588,3. Personal Non-prime (C-E),Personal,2026-03,30,0.6129,ESCALATION,1,immediate collections
L0049417,C039856,3. Personal Non-prime (C-E),Personal,2026-03,30,0.6129,ESCALATION,1,immediate collections
L0011085,C008919,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5417,ESCALATION,1,immediate collections
L0036927,C029751,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5417,ESCALATION,1,immediate collections
L0048537,C039134,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5417,ESCALATION,1,immediate collections
L0000239,C000192,1. BNPL (grade A-C),BNPL,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0000697,C000555,5. SME Non-prime (C-E),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0001200,C000975,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0001552,C001252,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0003027,C002432,5. SME Non-prime (C-E),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0004237,C003400,2. Personal Prime (A-B),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0005340,C004289,2. Personal Prime (A-B),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0006272,C005045,5. SME Non-prime (C-E),SME,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0006789,C005448,5. SME Non-prime (C-E),SME,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0006956,C005586,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0008205,C006596,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0010187,C008216,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0010515,C008464,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0010860,C008734,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0011320,C009106,5. SME Non-prime (C-E),SME,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0011528,C009270,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0011574,C009306,2. Personal Prime (A-B),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0011575,C009306,5. SME Non-prime (C-E),SME,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0013405,C010789,5. SME Non-prime (C-E),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0015377,C012376,2. Personal Prime (A-B),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0015957,C012826,2. Personal Prime (A-B),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0016693,C013426,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0017650,C014207,5. SME Non-prime (C-E),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0017720,C014263,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0018503,C014890,4. SME Prime (A-B),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0020949,C016860,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0021496,C017294,2. Personal Prime (A-B),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0021512,C017309,2. Personal Prime (A-B),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0022633,C018199,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0023053,C018537,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0023079,C018560,2. Personal Prime (A-B),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0023399,C018819,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0024176,C019442,2. Personal Prime (A-B),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0024830,C019987,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0024925,C020060,2. Personal Prime (A-B),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0025957,C020885,4. SME Prime (A-B),SME,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0026098,C020991,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0026727,C021495,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0027659,C022240,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0028335,C022779,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0028336,C022779,5. SME Non-prime (C-E),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0028634,C023013,5. SME Non-prime (C-E),SME,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0030505,C024532,1. BNPL (grade A-C),BNPL,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0030517,C024542,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0030568,C024580,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0031689,C025482,5. SME Non-prime (C-E),SME,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0032526,C026164,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0033011,C026558,2. Personal Prime (A-B),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0033918,C027298,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0034930,C028132,5. SME Non-prime (C-E),SME,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0035019,C028197,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0035749,C028783,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0036181,C029143,5. SME Non-prime (C-E),SME,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0036283,C029228,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0037128,C029907,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0037587,C030288,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0038369,C030925,2. Personal Prime (A-B),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0038372,C030927,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0038599,C031105,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0038929,C031365,2. Personal Prime (A-B),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0039184,C031575,3. Personal Non-prime (C-E),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0039422,C031762,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5097,ESCALATION,1,immediate collections
L0039486,C031815,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0039578,C031891,4. SME Prime (A-B),SME,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0041079,C033107,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0041202,C033205,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0042406,C034174,5. SME Non-prime (C-E),SME,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0043139,C034761,2. Personal Prime (A-B),Personal,2026-03,30,0.5097,ESCALATION,1,immediate collections
L0045702,C036830,2. Personal Prime (A-B),Personal,2026-03,75,0.5097,ESCALATION,1,immediate collections
L0046330,C037332,4. SME Prime (A-B),SME,2026-03,60,0.5097,ESCALATION,1,immediate collections
L0004180,C003354,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5078,ESCALATION,1,immediate collections
L0008069,C006487,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0008597,C006918,2. Personal Prime (A-B),Personal,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0009990,C008057,2. Personal Prime (A-B),Personal,2026-03,60,0.5078,ESCALATION,1,immediate collections
L0011543,C009279,5. SME Non-prime (C-E),SME,2026-03,60,0.5078,ESCALATION,1,immediate collections
L0013642,C010971,5. SME Non-prime (C-E),SME,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0014508,C011673,3. Personal Non-prime (C-E),Personal,2026-03,60,0.5078,ESCALATION,1,immediate collections
L0014859,C011956,3. Personal Non-prime (C-E),Personal,2026-03,45,0.5078,ESCALATION,1,immediate collections
L0014860,C011956,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0022779,C018315,2. Personal Prime (A-B),Personal,2026-03,45,0.5078,ESCALATION,1,immediate collections
L0024157,C019425,3. Personal Non-prime (C-E),Personal,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0025583,C020579,5. SME Non-prime (C-E),SME,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0026590,C021389,5. SME Non-prime (C-E),SME,2026-03,45,0.5078,ESCALATION,1,immediate collections
L0031382,C025241,5. SME Non-prime (C-E),SME,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0036823,C029667,5. SME Non-prime (C-E),SME,2026-03,45,0.5078,ESCALATION,1,immediate collections
L0038930,C031365,4. SME Prime (A-B),SME,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0040996,C033040,4. SME Prime (A-B),SME,2026-03,45,0.5078,ESCALATION,1,immediate collections
L0041742,C033639,5. SME Non-prime (C-E),SME,2026-03,60,0.5078,ESCALATION,1,immediate collections
L0043804,C035299,2. Personal Prime (A-B),Personal,2026-03,30,0.5078,ESCALATION,1,immediate collections
L0048494,C039097,4. SME Prime (A-B),SME,2026-03,75,0.5078,ESCALATION,1,immediate collections
L0020975,C016880,5. SME Non-prime (C-E),SME,2026-03,45,0.491,ESCALATION,1,immediate collections
L0000243,C000195,5. SME Non-prime (C-E),SME,2026-03,45,0.4815,ESCALATION,1,immediate collections
L0001231,C000996,3. Personal Non-prime (C-E),Personal,2026-03,60,0.4815,ESCALATION,1,immediate collections
L0033147,C026669,4. SME Prime (A-B),SME,2026-03,60,0.4815,ESCALATION,1,immediate collections
L0039527,C031848,3. Personal Non-prime (C-E),Personal,2026-03,75,0.4815,ESCALATION,1,immediate collections
L0003038,C002440,5. SME Non-prime (C-E),SME,2026-03,30,0.4722,ESCALATION,1,immediate collections
